orgnr,wikidata_item,wikidata_label
2120002841,http://www.wikidata.org/entity/Q500210,Vännäs kommun
2120002858,http://www.wikidata.org/entity/Q507644,Norsjö kommun
2120002866,http://www.wikidata.org/entity/Q501540,Malå kommun
2120002874,http://www.wikidata.org/entity/Q516080,Salems kommun
2120002882,http://www.wikidata.org/entity/Q113718,Botkyrka kommun
2120002890,http://www.wikidata.org/entity/Q117728,Österåkers kommun
2120002908,http://www.wikidata.org/entity/Q500090,Vaxholms kommun
2120002916,http://www.wikidata.org/entity/Q503127,Essunga kommun
2120002924,http://www.wikidata.org/entity/Q501428,Vara kommun
2120002940,http://www.wikidata.org/entity/Q500267,Nyköpings kommun
2120002957,http://www.wikidata.org/entity/Q505064,Trosa kommun
2120002965,http://www.wikidata.org/entity/Q239332,Gnesta kommun
2120002973,http://www.wikidata.org/entity/Q503102,Bollebygds kommun
2120002981,http://www.wikidata.org/entity/Q515282,Lekebergs kommun
2120002999,http://www.wikidata.org/entity/Q499460,Nykvarns kommun
2120003005,http://www.wikidata.org/entity/Q59091,Uppsala kommun
2120003013,http://www.wikidata.org/entity/Q504465,Knivsta kommun
2220000315,http://www.wikidata.org/entity/Q10685908,Sveriges Kommuner och Regioner
2220000711,http://www.wikidata.org/entity/Q90886254,Kommunsamverkan Cura Individutveckling
2220000737,http://www.wikidata.org/entity/Q10688828,Södertörns brandförsvarsförbund
2220000802,http://www.wikidata.org/entity/Q90886921,"Västerbergslagens Utbildningsförbund, VBU"
2220000810,http://www.wikidata.org/entity/Q18333770,Södra Älvsborgs Räddningstjänstförbund
2220000927,http://www.wikidata.org/entity/Q90886601,Norra Västmanlands Utbildningsförbund
2220001180,http://www.wikidata.org/entity/Q10686745,Sydnärkes utbildningsförbund
2220001222,http://www.wikidata.org/entity/Q90885358,Sölvesborgs-Bromöllas Kommunalförbund
2220001636,http://www.wikidata.org/entity/Q91105070,Jämtlands Gymnasieförbund
2220001883,http://www.wikidata.org/entity/Q121037096,Kretslopp Sydost
2220003111,http://www.wikidata.org/entity/Q90885442,Hälsinglands Utbildningsförbund
2321000016,http://www.wikidata.org/entity/Q3233188,Region Stockholm
2321000024,http://www.wikidata.org/entity/Q3231752,Region Uppsala
2321000032,http://www.wikidata.org/entity/Q3232072,Region Sörmland
2321000040,http://www.wikidata.org/entity/Q3231915,Region Östergötland
2321000057,http://www.wikidata.org/entity/Q3231587,Region Jönköpings län
2321000065,http://www.wikidata.org/entity/Q3232003,Region Kronoberg
2321000073,http://www.wikidata.org/entity/Q3231675,Region Kalmar län
2321000081,http://www.wikidata.org/entity/Q3231208,Region Blekinge
2321000115,http://www.wikidata.org/entity/Q3232501,Region Halland
2321000131,http://www.wikidata.org/entity/Q3233447,Västra Götalandsregionen
2321000156,http://www.wikidata.org/entity/Q3231840,Region Värmland
2321000164,http://www.wikidata.org/entity/Q3233521,Region Örebro län
2321000172,http://www.wikidata.org/entity/Q3232214,Region Västmanland
2321000180,http://www.wikidata.org/entity/Q3231325,Region Dalarna
2321000198,http://www.wikidata.org/entity/Q3231382,Region Gävleborg
2321000206,http://www.wikidata.org/entity/Q8100253,Region Västernorrland
2321000214,http://www.wikidata.org/entity/Q11285861,Region Jämtland Härjedalen
2321000222,http://www.wikidata.org/entity/Q3233375,Region Västerbotten
2321000230,http://www.wikidata.org/entity/Q3232292,Region Norrbotten
2321000255,http://www.wikidata.org/entity/Q3232565,Region Skåne
2520028875,http://www.wikidata.org/entity/Q130759010,Judiska centralrådet
2520032059,http://www.wikidata.org/entity/Q90882843,Knivsta Pastorat
2520040524,http://www.wikidata.org/entity/Q90882210,Västanfors-Västervåla Församling
2520043551,http://www.wikidata.org/entity/Q105627586,Brokyrkan i Borås
2520047560,http://www.wikidata.org/entity/Q90882221,Avesta-Grytnäs Pastorat
2520100047,http://www.wikidata.org/entity/Q876816,Strängnäs stift
2620000071,http://www.wikidata.org/entity/Q90824180,Hushållningssällskapet Kalmar-Kronoberg-Blekinge
2620000675,http://www.wikidata.org/entity/Q7654603,Sveriges advokatsamfund
2620000766,http://www.wikidata.org/entity/Q5626729,Göteborgs nation
2620001145,http://www.wikidata.org/entity/Q2822454,Kungliga Skogs- och Lantbruksakademien
4402262358,http://www.wikidata.org/entity/Q75532722,FredsbaskerFörlaget
4467258990,http://www.wikidata.org/entity/Q10716904,Votum förlag
460529,http://www.wikidata.org/entity/Q113682043,2000 Bilder
5020066329,http://www.wikidata.org/entity/Q136499054,"Bliwa Livförsäkring, ömsesidigt"
5020077862,http://www.wikidata.org/entity/Q1421630,Handelsbanken
5020146865,http://www.wikidata.org/entity/Q10404741,Alecta
5020177753,http://www.wikidata.org/entity/Q1145493,Swedbank
5020329081,http://www.wikidata.org/entity/Q975655,Skandinaviska Enskilda Banken
